07/02/2021 3:00:41 Se conecto con ip:127.0.0.1
07/02/2021 3:02:42 Se conecto con ip:127.0.0.1
07/02/2021 3:03:02 /TELEPLOC a x:185 Y:1235 Map:1
07/02/2021 3:03:02 /TELEPLOC a x:185 Y:1235 Map:1
07/02/2021 3:03:03 /TELEPLOC a x:185 Y:1235 Map:1
07/02/2021 3:03:06 /TELEPLOC a x:185 Y:1235 Map:1
07/02/2021 3:03:07 /TELEPLOC a x:185 Y:1235 Map:1
07/02/2021 3:03:30 /TELEPLOC a x:195 Y:1230 Map:1
07/02/2021 3:03:46 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:47 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:47 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:48 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:48 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:49 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:50 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:50 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:51 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:52 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:53 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:54 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:54 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:55 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:55 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:56 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:56 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:57 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:57 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:58 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:59 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:03:59 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:04:00 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:04:00 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:04:01 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:04:02 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:04:10 /TELEPLOC a x:214 Y:1150 Map:1
07/02/2021 3:04:21 /TELEPLOC a x:181 Y:1239 Map:1
07/02/2021 3:04:21 /TELEPLOC a x:181 Y:1239 Map:1
07/02/2021 3:04:32 Transportó a neosefirot hacia Mapa2 X:20 Y:20
07/02/2021 3:05:37 Transportó a neosefirot hacia Mapa19 X:20 Y:20
07/02/2021 3:05:40 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:41 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:41 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:42 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:42 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:43 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:43 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:44 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:44 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:44 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:45 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:45 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:46 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:48 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:49 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:49 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:50 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:50 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:51 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:51 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:51 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:52 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:52 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:53 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:53 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:53 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:05:54 /TELEPLOC a x:181 Y:1239 Map:19
07/02/2021 3:06:01 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:01 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:02 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:02 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:03 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:03 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:06 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:06 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:06 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:07 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:08 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:10 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:10 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:11 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:12 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:12 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:13 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:13 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:14 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:14 /TELEPLOC a x:110 Y:69 Map:19
07/02/2021 3:06:37 Transportó a neosefirot hacia Mapa1 X:200 Y:200
07/02/2021 3:07:01 /TELEPLOC a x:202 Y:200 Map:1
07/02/2021 3:09:39 Se conecto con ip:127.0.0.1
07/02/2021 3:09:44 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:09:44 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:20 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:20 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:21 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:22 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:22 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:23 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:23 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:24 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:24 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:25 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:26 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:28 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:33 /TELEPLOC a x:245 Y:227 Map:1
07/02/2021 3:10:56 Transportó a neosefirot hacia Mapa3 X:40 Y:40
07/02/2021 3:13:24 Se conecto con ip:127.0.0.1
07/02/2021 3:13:57 Transportó a neosefirot hacia Mapa3 X:50 Y:50
07/02/2021 15:57:01 Se conecto con ip:37.223.20.52
07/02/2021 15:59:31 /TELEPLOC a x:152 Y:50 Map:19
07/02/2021 15:59:32 /TELEPLOC a x:152 Y:50 Map:19
07/02/2021 15:59:32 /TELEPLOC a x:152 Y:50 Map:19
07/02/2021 15:59:33 /TELEPLOC a x:152 Y:50 Map:19
07/02/2021 15:59:34 /TELEPLOC a x:152 Y:50 Map:19
07/02/2021 15:59:35 /TELEPLOC a x:152 Y:50 Map:19
07/02/2021 15:59:36 /TELEPLOC a x:152 Y:50 Map:19
07/02/2021 15:59:37 /TELEPLOC a x:152 Y:50 Map:19
07/02/2021 15:59:37 /TELEPLOC a x:152 Y:50 Map:19
07/02/2021 15:59:37 /TELEPLOC a x:152 Y:50 Map:19
07/02/2021 15:59:38 /TELEPLOC a x:152 Y:50 Map:19
07/02/2021 15:59:38 /TELEPLOC a x:152 Y:50 Map:19
07/02/2021 15:59:39 /TELEPLOC a x:152 Y:50 Map:19
07/02/2021 16:00:39 Transportó a neosefirot hacia Mapa1 X:200 Y:200
07/02/2021 16:00:52 /IRA sensui Mapa:1 X:198 Y:1166
07/02/2021 16:00:54 /TELEPLOC a x:206 Y:200 Map:1
07/02/2021 16:01:22 /TELEPLOC a x:198 Y:1236 Map:1
07/02/2021 16:01:59 /IRA sensui Mapa:8 X:66 Y:147
07/02/2021 16:02:16 /IRA sensui Mapa:8 X:39 Y:126
07/02/2021 16:02:26 /TELEPLOC a x:116 Y:138 Map:8
07/02/2021 16:04:57 /IRA sensui Mapa:1 X:304 Y:196
07/02/2021 16:05:40 /TELEPLOC a x:116 Y:138 Map:1
07/02/2021 16:05:42 /TELEPLOC a x:116 Y:138 Map:1
07/02/2021 16:05:46 /TELEPLOC a x:116 Y:138 Map:1
07/02/2021 16:06:48 /TELEPLOC a x:721 Y:322 Map:1
07/02/2021 16:06:49 /TELEPLOC a x:721 Y:322 Map:1
07/02/2021 16:06:52 /TELEPLOC a x:721 Y:322 Map:1
07/02/2021 16:11:21 Se conecto con ip:37.223.20.52
07/02/2021 16:11:47 Transportó a neosefirot hacia Mapa1 X:300 Y:300
07/02/2021 16:11:49 /TELEPLOC a x:117 Y:142 Map:1
07/02/2021 16:11:56 /TELEPLOC a x:117 Y:142 Map:1
07/02/2021 16:11:57 /TELEPLOC a x:117 Y:142 Map:1
07/02/2021 16:11:57 /TELEPLOC a x:117 Y:142 Map:1
07/02/2021 16:11:58 /TELEPLOC a x:117 Y:142 Map:1
07/02/2021 16:11:58 /TELEPLOC a x:117 Y:142 Map:1
07/02/2021 16:12:02 /TELEPLOC a x:117 Y:142 Map:1
11/02/2021 21:58:00 Se conecto con ip:37.223.20.52
11/02/2021 21:59:56 /TELEPLOC a x:699 Y:347 Map:1
11/02/2021 21:59:57 /TELEPLOC a x:699 Y:347 Map:1
11/02/2021 21:59:59 /TELEPLOC a x:699 Y:347 Map:1
11/02/2021 22:00:14 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:00:18 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:00:18 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:00:20 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:00:20 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:00:21 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:00:21 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:00:22 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:00:23 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:00:24 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:00:24 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:00:25 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:00:33 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:01:00 /TELEPLOC a x:533 Y:481 Map:1
11/02/2021 22:01:20 /TELEPLOC a x:455 Y:805 Map:1
11/02/2021 22:01:23 /TELEPLOC a x:455 Y:805 Map:1
11/02/2021 22:01:48 Se conecto con ip:37.223.20.52
11/02/2021 22:02:25 /TELEPLOC a x:455 Y:805 Map:1
11/02/2021 22:02:28 /TELEPLOC a x:455 Y:805 Map:1
11/02/2021 22:03:00 /TELEPLOC a x:5 Y:21 Map:1
12/02/2021 20:47:42 Se conecto con ip:37.223.20.52
12/02/2021 20:47:49 /TELEPLOC a x:0 Y:0 Map:1
12/02/2021 20:47:50 /TELEPLOC a x:0 Y:0 Map:1
12/02/2021 20:47:51 /TELEPLOC a x:0 Y:0 Map:1
12/02/2021 20:48:55 /TELEPLOC a x:182 Y:1226 Map:1
12/02/2021 20:48:55 /TELEPLOC a x:182 Y:1226 Map:1
12/02/2021 20:48:56 /TELEPLOC a x:182 Y:1226 Map:1
12/02/2021 20:48:57 /TELEPLOC a x:182 Y:1226 Map:1
12/02/2021 20:48:57 /TELEPLOC a x:182 Y:1226 Map:1
12/02/2021 20:48:58 /TELEPLOC a x:182 Y:1226 Map:1
12/02/2021 20:48:58 /TELEPLOC a x:182 Y:1226 Map:1
12/02/2021 20:49:00 /TELEPLOC a x:182 Y:1226 Map:1
12/02/2021 20:49:03 /TELEPLOC a x:182 Y:1226 Map:1
13/02/2021 22:26:20 Se conecto con ip:37.223.20.52
13/02/2021 22:26:40 /TELEPLOC a x:0 Y:0 Map:1
13/02/2021 22:26:45 /IRA sensui Mapa:1 X:300 Y:875
13/02/2021 22:28:03 Agarro:10000 Objeto:Monedas de Oro
13/02/2021 22:28:15 /TELEPLOC a x:300 Y:883 Map:1
13/02/2021 22:28:53 Se conecto con ip:37.223.20.52
13/02/2021 22:29:20 Transportó a neosefirot hacia Mapa1 X:175 Y:1019
13/02/2021 22:29:21 Transportó a neosefirot hacia Mapa1 X:175 Y:1079
13/02/2021 22:29:22 Transportó a neosefirot hacia Mapa1 X:296 Y:1004
13/02/2021 22:29:22 Transportó a neosefirot hacia Mapa1 X:406 Y:944
13/02/2021 22:29:23 Transportó a neosefirot hacia Mapa1 X:384 Y:629
13/02/2021 22:29:23 Transportó a neosefirot hacia Mapa1 X:263 Y:494
13/02/2021 22:29:24 Transportó a neosefirot hacia Mapa1 X:450 Y:209
13/02/2021 22:29:25 Transportó a neosefirot hacia Mapa1 X:560 Y:929
13/02/2021 22:29:26 Transportó a neosefirot hacia Mapa1 X:505 Y:1379
13/02/2021 22:30:22 /TELEPLOC a x:495 Y:1388 Map:1
13/02/2021 22:30:23 /TELEPLOC a x:495 Y:1388 Map:1
13/02/2021 22:31:07 Transportó a neosefirot hacia Mapa1 X:164 Y:1139
13/02/2021 22:31:08 Transportó a neosefirot hacia Mapa1 X:263 Y:1169
13/02/2021 22:31:19 /TELEPLOC a x:471 Y:1274 Map:1
13/02/2021 22:31:21 /TELEPLOC a x:471 Y:1274 Map:1
13/02/2021 22:31:23 /TELEPLOC a x:471 Y:1274 Map:1
13/02/2021 22:31:47 /TELEPLOC a x:162 Y:1242 Map:1
14/02/2021 9:40:25 Se conecto con ip:37.223.20.52
14/02/2021 9:40:29 /TELEPLOC a x:0 Y:0 Map:13
14/02/2021 9:40:29 /TELEPLOC a x:0 Y:0 Map:13
14/02/2021 9:40:31 /TELEPLOC a x:0 Y:0 Map:13
14/02/2021 9:40:31 /TELEPLOC a x:0 Y:0 Map:13
14/02/2021 9:40:32 /TELEPLOC a x:0 Y:0 Map:13
14/02/2021 10:21:43 Se conecto con ip:37.223.20.52
14/02/2021 10:23:20 /TELEPLOC a x:178 Y:1237 Map:1
14/02/2021 10:27:45 Se conecto con ip:37.223.20.52
14/02/2021 10:27:48 /TELEPLOC a x:178 Y:1237 Map:1
14/02/2021 12:52:55 Se conecto con ip:37.223.20.52
14/02/2021 12:54:12 /TELEPLOC a x:220 Y:1238 Map:13
14/02/2021 12:54:13 /TELEPLOC a x:220 Y:1238 Map:13
14/02/2021 12:54:14 /TELEPLOC a x:220 Y:1238 Map:13
14/02/2021 12:54:14 /TELEPLOC a x:220 Y:1238 Map:13
14/02/2021 12:54:15 /TELEPLOC a x:220 Y:1238 Map:13
14/02/2021 12:54:16 /TELEPLOC a x:220 Y:1238 Map:13
14/02/2021 12:54:25 /TELEPLOC a x:24 Y:459 Map:1
14/02/2021 12:54:26 /TELEPLOC a x:24 Y:459 Map:1
14/02/2021 12:54:27 /TELEPLOC a x:24 Y:459 Map:1
14/02/2021 12:54:34 /TELEPLOC a x:155 Y:1249 Map:1
14/02/2021 12:55:46 /TELEPLOC a x:155 Y:1249 Map:1
14/02/2021 12:55:46 /TELEPLOC a x:155 Y:1249 Map:1
14/02/2021 12:55:47 /TELEPLOC a x:155 Y:1249 Map:1
14/02/2021 12:56:04 /TELEPLOC a x:155 Y:1249 Map:1
14/02/2021 12:56:05 /TELEPLOC a x:155 Y:1249 Map:1
14/02/2021 13:00:42 /TELEPLOC a x:155 Y:1249 Map:1
14/02/2021 13:29:04 Se conecto con ip:37.223.20.52
14/02/2021 13:29:45 /TELEPLOC a x:378 Y:1294 Map:1
14/02/2021 13:30:37 /TELEPLOC a x:466 Y:1299 Map:1
14/02/2021 13:30:54 /TELEPLOC a x:468 Y:1275 Map:1
14/02/2021 13:32:09 /TELEPLOC a x:554 Y:1408 Map:1
14/02/2021 13:32:12 /TELEPLOC a x:554 Y:1408 Map:1
14/02/2021 13:32:19 /TELEPLOC a x:554 Y:1408 Map:1
14/02/2021 13:32:22 /TELEPLOC a x:554 Y:1408 Map:1
14/02/2021 13:32:25 /TELEPLOC a x:554 Y:1408 Map:1
14/02/2021 13:32:26 /TELEPLOC a x:554 Y:1408 Map:1
14/02/2021 13:32:37 /TELEPLOC a x:600 Y:1153 Map:1
14/02/2021 13:33:07 /TELEPLOC a x:600 Y:1153 Map:1
14/02/2021 13:33:14 /TELEPLOC a x:600 Y:1153 Map:1
14/02/2021 13:33:53 /TELEPLOC a x:643 Y:873 Map:1
14/02/2021 14:02:50 Se conecto con ip:37.223.20.52
14/02/2021 14:03:04 /TELEPLOC a x:396 Y:797 Map:1
14/02/2021 14:03:04 /TELEPLOC a x:396 Y:797 Map:1
14/02/2021 14:03:11 /TELEPLOC a x:396 Y:797 Map:1
14/02/2021 14:03:11 /TELEPLOC a x:396 Y:797 Map:1
14/02/2021 14:03:12 /TELEPLOC a x:396 Y:797 Map:1
14/02/2021 14:03:13 /TELEPLOC a x:396 Y:797 Map:1
14/02/2021 14:03:13 /TELEPLOC a x:396 Y:797 Map:1
14/02/2021 14:03:14 /TELEPLOC a x:396 Y:797 Map:1
14/02/2021 14:06:29 /TELEPLOC a x:396 Y:797 Map:1
14/02/2021 14:06:31 /TELEPLOC a x:396 Y:797 Map:1
14/02/2021 14:06:32 /TELEPLOC a x:396 Y:797 Map:1
14/02/2021 14:06:44 /TELEPLOC a x:367 Y:605 Map:1
14/02/2021 14:10:11 /TELEPLOC a x:319 Y:615 Map:1
14/02/2021 14:10:15 /TELEPLOC a x:319 Y:615 Map:1
14/02/2021 14:10:26 /TELEPLOC a x:319 Y:615 Map:1
14/02/2021 14:10:33 /TELEPLOC a x:377 Y:1002 Map:1
14/02/2021 14:10:34 /TELEPLOC a x:377 Y:1002 Map:1
14/02/2021 14:10:39 /TELEPLOC a x:377 Y:1002 Map:1
14/02/2021 14:11:04 /TELEPLOC a x:377 Y:1002 Map:15
14/02/2021 14:11:05 /TELEPLOC a x:377 Y:1002 Map:15
14/02/2021 14:11:05 /TELEPLOC a x:377 Y:1002 Map:15
14/02/2021 14:11:06 /TELEPLOC a x:377 Y:1002 Map:15
14/02/2021 14:11:06 /TELEPLOC a x:377 Y:1002 Map:15
14/02/2021 14:11:07 /TELEPLOC a x:377 Y:1002 Map:15
14/02/2021 14:14:02 /TELEPLOC a x:299 Y:1137 Map:1
14/02/2021 14:14:15 /TELEPLOC a x:299 Y:1137 Map:1
14/02/2021 14:14:22 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:14:25 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:25 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:27 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:33 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:43 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:43 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:47 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:48 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:48 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:49 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:49 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:57 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:57 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:58 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:17:59 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:18:00 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:18:00 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:18:01 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:18:01 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:18:02 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:18:02 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:18:03 /TELEPLOC a x:288 Y:1138 Map:1
14/02/2021 14:18:03 /TELEPLOC a x:288 Y:1138 Map:1
